"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.322782516E-1,-1.532289088E-1,1.532289088E-1,9.185305595E0
3.332462311E-1,-1.532289088E-1,1.915361285E-1,9.185305595E0
3.342471123E-1,-1.532289088E-1,1.532289088E-1,9.185305595E0
3.352282047E-1,-1.532289088E-1,1.915361285E-1,9.185305595E0
3.362410069E-1,-1.532289088E-1,1.532289088E-1,9.185305595E0
3.372750282E-1,-1.532289088E-1,1.915361285E-1,9.185305595E0
3.382592201E-1,-1.532289088E-1,1.532289088E-1,9.185305595E0
3.392553329E-1,-1.532289088E-1,1.915361285E-1,9.185305595E0
3.402421474E-1,-1.532289088E-1,3.830722719E-2,9.305082321E0
3.412661552E-1,-1.532289088E-1,7.661445439E-2,9.305082321E0
3.422501087E-1,-1.532289088E-1,3.830722719E-2,9.305082321E0
3.432621956E-1,-1.532289088E-1,7.661445439E-2,9.305082321E0
3.442373276E-1,-1.532289088E-1,3.830722719E-2,9.305082321E0
3.452382088E-1,-1.532289088E-1,7.661445439E-2,9.305082321E0
3.462340832E-1,-1.532289088E-1,3.830722719E-2,9.305082321E0
3.472630978E-1,-1.532289088E-1,7.661445439E-2,9.305082321E0
3.482520580E-1,-1.532289088E-1,3.830722719E-2,9.305082321E0
3.492560387E-1,-1.532289088E-1,7.661445439E-2,9.305082321E0
3.502559662E-1,-1.149216816E-1,0.000000000E0,9.457903862E0
3.512401581E-1,-1.149216816E-1,3.830722719E-2,9.457903862E0
3.522381783E-1,-1.149216816E-1,0.000000000E0,9.457903862E0
3.532392979E-1,-1.149216816E-1,3.830722719E-2,9.457903862E0
3.542339802E-1,-1.149216816E-1,0.000000000E0,9.457903862E0
3.552322388E-1,-1.149216816E-1,3.830722719E-2,9.457903862E0
3.562383652E-1,-1.149216816E-1,0.000000000E0,9.457903862E0
3.572361469E-1,-1.149216816E-1,3.830722719E-2,9.457903862E0
3.582432270E-1,-1.149216816E-1,0.000000000E0,9.457903862E0
3.592510223E-1,-1.149216816E-1,3.830722719E-2,9.457903862E0
3.602561951E-1,-1.149216816E-1,7.661445439E-2,9.468379974E0
3.612482548E-1,-1.149216816E-1,1.149216816E-1,9.468379974E0
3.622481823E-1,-1.149216816E-1,7.661445439E-2,9.468379974E0
3.632311821E-1,-1.149216816E-1,1.149216816E-1,9.468379974E0
3.642241955E-1,-1.149216816E-1,7.661445439E-2,9.468379974E0
3.652372360E-1,-1.149216816E-1,1.149216816E-1,9.468379974E0
3.662581444E-1,-1.149216816E-1,7.661445439E-2,9.468379974E0
3.672580719E-1,-1.149216816E-1,1.149216816E-1,9.468379974E0
3.682389259E-1,-1.149216816E-1,7.661445439E-2,9.468379974E0
3.692402840E-1,-1.149216816E-1,1.149216816E-1,9.468379974E0
3.702349663E-1,-1.915361285E-1,1.149216816E-1,9.618106842E0
3.712353706E-1,-1.915361285E-1,1.532289088E-1,9.618106842E0
3.722400665E-1,-1.915361285E-1,1.149216816E-1,9.618106842E0
3.732531071E-1,-1.915361285E-1,1.532289088E-1,9.618106842E0
3.742601871E-1,-1.915361285E-1,1.149216816E-1,9.618106842E0
3.752601147E-1,-1.915361285E-1,1.532289088E-1,9.618106842E0
3.762462139E-1,-1.915361285E-1,1.149216816E-1,9.618106842E0
3.772401810E-1,-1.915361285E-1,1.532289088E-1,9.618106842E0
3.782422543E-1,-1.915361285E-1,1.149216816E-1,9.618106842E0
3.792443275E-1,-1.915361285E-1,1.532289088E-1,9.618106842E0
3.802361488E-1,-1.915361285E-1,1.149216816E-1,9.619086266E0
3.812561035E-1,-1.915361285E-1,1.532289088E-1,9.619086266E0
3.822581768E-1,-1.915361285E-1,1.149216816E-1,9.619086266E0
3.832480907E-1,-1.915361285E-1,1.532289088E-1,9.619086266E0
3.842551708E-1,-1.915361285E-1,1.149216816E-1,9.619086266E0
3.852412701E-1,-1.915361285E-1,1.532289088E-1,9.619086266E0
3.862450123E-1,-1.915361285E-1,1.149216816E-1,9.619086266E0
3.872432709E-1,-1.915361285E-1,1.532289088E-1,9.619086266E0
3.882451057E-1,-1.915361285E-1,1.149216816E-1,9.619086266E0
3.892402649E-1,-1.915361285E-1,1.532289088E-1,9.619086266E0
3.902561665E-1,-7.661445439E-2,0.000000000E0,9.717432022E0
3.912401199E-1,-7.661445439E-2,3.830722719E-2,9.717432022E0
3.922662735E-1,-7.661445439E-2,0.000000000E0,9.717432022E0
3.932702541E-1,-7.661445439E-2,3.830722719E-2,9.717432022E0
3.942470551E-1,-7.661445439E-2,0.000000000E0,9.717432022E0
3.952491283E-1,-7.661445439E-2,3.830722719E-2,9.717432022E0
3.962583542E-1,-7.661445439E-2,0.000000000E0,9.717432022E0
3.972749710E-1,-7.661445439E-2,3.830722719E-2,9.717432022E0
3.982303143E-1,-7.661445439E-2,0.000000000E0,9.717432022E0
3.992421627E-1,-7.661445439E-2,3.830722719E-2,9.717432022E0
4.002332687E-1,-1.532289088E-1,-3.830722719E-2,9.772076607E0
4.022979736E-1,-1.532289088E-1,0.000000000E0,9.772076607E0
4.026231766E-1,-1.532289088E-1,-3.830722719E-2,9.772076607E0
4.032621384E-1,-1.532289088E-1,0.000000000E0,9.772076607E0
4.042813778E-1,-1.532289088E-1,-3.830722719E-2,9.772076607E0
4.054012299E-1,-1.532289088E-1,0.000000000E0,9.772076607E0
4.062681198E-1,-1.532289088E-1,-3.830722719E-2,9.772076607E0
4.072773457E-1,-1.532289088E-1,0.000000000E0,9.772076607E0
4.082882404E-1,-1.532289088E-1,-3.830722719E-2,9.772076607E0
4.092841148E-1,-1.915361285E-1,1.149216816E-1,9.795855522E0
4.103031158E-1,-1.915361285E-1,1.532289088E-1,9.795855522E0
4.112641811E-1,-1.915361285E-1,1.149216816E-1,9.795855522E0
4.123051167E-1,-1.915361285E-1,1.532289088E-1,9.795855522E0
4.132881165E-1,-1.915361285E-1,1.149216816E-1,9.795855522E0
4.142711163E-1,-1.915361285E-1,1.532289088E-1,9.795855522E0
4.152710438E-1,-1.915361285E-1,1.149216816E-1,9.795855522E0
4.162721634E-1,-1.915361285E-1,1.532289088E-1,9.795855522E0
4.172933102E-1,-1.915361285E-1,1.149216816E-1,9.795855522E0
4.183351994E-1,-1.915361285E-1,1.532289088E-1,9.795855522E0
4.192852974E-1,-1.532289088E-1,1.149216816E-1,9.803630829E0
